DEX	LINK
ATIPANA DEX S.A.C.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/atipana-dex-s-a-c.html
ATUQ DEX S.A.C.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/atuq-dex-s-a-c.html
D.L.F. MEDINA RIVERA S.A.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/d-l-f-medina-rivera-s-a.html
DISTRIBUIDORA AURELIO S.A.C.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/distribuidora-aurelio-s-a-c.html
DISTRIBUIDORA CUNZA S.A.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/distribuidora-cunza-s-a.html
DISTRIBUIDORA SOL DEL VALLE S.A.C.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/distribuidora-sol-del-valle-s-a-c.html
FUERZADEX S.A.C.	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/fuerzadex-s-a-c.html
PACIFICO AYACUCHO	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/pacifico-ayacucho.html
PACIFICO DEX SOCIEDAD ANONIMA CERRADA	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/pacifico-dex-sociedad-anonima-cerrada.html
PARDADEX	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/pardadex.html
ROSET DISTRIBUCIONES EIRL	https://OperacionesAdecco.github.io/InformesRutas_DEX/dex/roset-distribuciones-eirl.html
